Date,Country,Production_Tons,Export_Tons,USD_Price,Month,Year,Season
2013-11-25,Brazil,176753,24176,10.84,11,2013,Spring
2017-04-08,Jordan,276255,32466,11.68,4,2017,Ramadan
2011-01-10,Libya,321041,18550,7.3,1,2011,Winter
2019-02-27,Greece,268559,12097,8.41,2,2019,Winter
2017-01-08,USA,279138,39946,7.01,1,2017,Winter
2024-05-01,UK,225716,47089,7.32,5,2024,Spring
2022-02-11,UK,336326,17928,7.0,2,2022,Winter
2016-06-12,UAE,159703,24056,11.84,6,2016,Summer
2012-09-01,Germany,284932,47654,11.57,9,2012,Spring
2024-05-01,Lebanon,274188,11789,5.82,5,2024,Spring
2023-08-05,Belgium,314282,5270,15.04,8,2023,Summer
2024-01-02,Colombia,336742,26036,14.28,1,2024,Winter
2012-04-04,UK,297462,17996,16.73,4,2012,Ramadan
2011-06-09,Kuwait,248478,5475,13.34,6,2011,Summer
2024-02-01,Canada,191517,66516,9.54,2,2024,Winter
2020-06-21,USA,262774,59677,6.79,6,2020,Summer
2015-09-16,Japan,310035,33297,17.43,9,2015,Spring
2021-12-13,Germany,339603,35196,5.78,12,2021,Winter
2018-05-03,Poland,325483,10240,11.47,5,2018,Spring
2012-03-05,Switzerland,186081,21593,9.83,3,2012,Ramadan
2013-04-29,South Africa,260905,19554,11.34,4,2013,Ramadan
2015-06-18,Qatar,246660,12944,6.49,6,2015,Summer
2013-08-27,Mexico,337227,28175,5.66,8,2013,Summer
2023-05-07,UAE,253489,39009,16.84,5,2023,Spring
2010-07-14,Lebanon,242341,39766,10.68,7,2010,Summer
2012-04-04,Belgium,212389,10099,10.01,4,2012,Ramadan
2019-11-24,Egypt,308149,5772,6.8,11,2019,Spring
2011-10-07,Italy,318556,56994,13.76,10,2011,Spring
2014-11-20,Argentina,318798,28996,5.86,11,2014,Spring
2017-04-08,Colombia,230752,18378,13.52,4,2017,Ramadan
2015-02-18,Belgium,348300,32131,13.17,2,2015,Winter
2021-07-16,Algeria,173614,38077,8.39,7,2021,Summer
2018-03-04,China,224619,15798,9.98,3,2018,Ramadan
2019-08-26,India,185486,5080,11.88,8,2019,Summer
2019-04-28,China,225881,40019,12.7,4,2019,Ramadan
2018-08-31,Romania,153888,28988,15.6,8,2018,Summer
2012-09-01,Morocco,285440,10101,8.77,9,2012,Spring
2017-08-06,Jordan,234864,14477,14.13,8,2017,Summer
2019-01-28,Belgium,346335,21951,16.3,1,2019,Winter
2019-03-29,Belgium,192705,8253,16.6,3,2019,Ramadan
2023-03-08,UAE,170466,34239,10.3,3,2023,Ramadan
2018-01-03,Algeria,342492,7664,6.42,1,2018,Winter
2023-07-06,Hungary,239812,17718,9.38,7,2023,Summer
2023-01-07,Australia,172475,35026,5.63,1,2023,Winter
2020-01-23,Germany,152997,52544,8.9,1,2020,Winter
2017-08-06,India,204784,21078,10.09,8,2017,Summer
2012-10-01,South Africa,204616,9537,5.57,10,2012,Spring
2021-12-13,Mexico,339007,22323,15.01,12,2021,Winter
2012-11-30,Algeria,198742,6450,18.14,11,2012,Spring
2018-07-02,Poland,272926,29387,17.92,7,2018,Summer
2012-07-03,Morocco,248739,16393,14.0,7,2012,Summer
2013-10-26,Czech Republic,312811,17461,13.79,10,2013,Spring
2010-09-12,Greece,267675,28262,17.34,9,2010,Spring
2011-07-09,USA,269780,79666,5.7,7,2011,Summer
2013-11-25,Austria,342129,27559,6.29,11,2013,Spring
2013-06-28,Qatar,269187,9586,6.25,6,2013,Summer
2021-10-14,Qatar,265704,35848,11.0,10,2021,Spring
2020-05-22,UAE,338121,5651,15.98,5,2020,Spring
2010-09-12,China,235798,31241,11.15,9,2010,Spring
2020-01-23,Poland,237499,7005,17.69,1,2020,Winter
2024-08-29,Netherlands,331785,25032,13.09,8,2024,Summer
2011-12-06,Morocco,211346,29211,6.06,12,2011,Winter
2012-10-01,Saudi Arabia,279231,20498,12.11,10,2012,Spring
2015-07-18,Netherlands,293573,24135,12.29,7,2015,Summer
2011-11-06,Kuwait,249204,31114,13.44,11,2011,Spring
2022-11-08,Romania,198916,26487,12.43,11,2022,Spring
2018-08-01,Jordan,229152,6061,17.16,8,2018,Summer
2022-10-09,Saudi Arabia,269591,24993,8.62,10,2022,Spring
2012-03-05,Jordan,297780,7940,18.32,3,2012,Ramadan
2017-09-05,Algeria,272698,10240,15.91,9,2017,Spring
2010-01-15,Peru,150312,8272,7.32,1,2010,Winter
2016-02-13,Mexico,336246,29991,8.78,2,2016,Winter
2017-03-09,Colombia,186271,11173,9.71,3,2017,Ramadan
2018-08-31,Qatar,167650,7879,17.01,8,2018,Summer
2010-08-13,Italy,213783,26937,11.16,8,2010,Summer
2013-03-30,Denmark,212770,14265,17.99,3,2013,Ramadan
2021-07-16,UAE,286438,13257,18.4,7,2021,Summer
2011-07-09,Portugal,237206,6092,16.38,7,2011,Summer
2024-03-02,France,282939,39681,9.52,3,2024,Ramadan
2023-04-07,Qatar,335893,38397,11.85,4,2023,Ramadan
2013-06-28,Belgium,238591,11101,13.22,6,2013,Summer
2012-11-30,Norway,275249,11317,11.91,11,2012,Spring
2023-11-03,Lebanon,185757,37460,8.41,11,2023,Spring
2023-02-06,UAE,184095,32845,11.69,2,2023,Winter
2024-01-02,India,225920,17158,5.68,1,2024,Winter
2011-03-11,Egypt,151351,12023,10.05,3,2011,Ramadan
2017-08-06,Norway,286477,12686,9.55,8,2017,Summer
2018-08-01,Austria,227494,12888,15.03,8,2018,Summer
2023-07-06,Lebanon,298227,24043,11.76,7,2023,Summer
2022-12-08,South Africa,311022,28712,7.61,12,2022,Winter
2012-06-03,Lebanon,339596,32202,9.41,6,2012,Summer
2021-05-17,UK,271389,40633,15.54,5,2021,Spring
2021-10-14,Canada,330532,50716,9.45,10,2021,Spring
2023-07-06,Poland,271504,37611,14.06,7,2023,Summer
2015-01-19,Hungary,231297,28999,16.18,1,2015,Winter
2016-07-12,Qatar,309118,6183,6.81,7,2016,Summer
2014-07-23,Japan,172125,27468,18.08,7,2014,Summer
2016-01-14,Spain,280962,20799,13.8,1,2016,Winter
2012-02-04,Chile,330754,7276,8.63,2,2012,Winter
2021-11-13,Canada,221367,46378,12.01,11,2021,Spring
2017-09-05,Mexico,225697,11090,6.3,9,2017,Spring
2016-09-10,Mexico,285549,16298,16.77,9,2016,Spring
2010-01-15,Norway,200064,32205,8.23,1,2010,Winter
2012-06-03,Mexico,244903,21594,15.86,6,2012,Summer
2018-03-04,Greece,155283,32222,5.69,3,2018,Ramadan
2016-06-12,Hungary,340313,24343,7.72,6,2016,Summer
2022-07-11,China,195143,37416,14.73,7,2022,Summer
2019-11-24,Hungary,204710,17112,16.16,11,2019,Spring
2023-06-06,Morocco,242036,12945,16.78,6,2023,Summer
2012-05-04,Canada,286655,70965,11.8,5,2012,Spring
2012-04-04,Germany,267858,32529,8.72,4,2012,Ramadan
2021-05-17,Morocco,269851,16455,18.19,5,2021,Spring
2016-06-12,Germany,309927,32325,11.79,6,2016,Summer
2017-04-08,France,198100,47648,9.12,4,2017,Ramadan
2011-03-11,Germany,301197,57038,8.94,3,2011,Ramadan
2023-07-06,Norway,170195,28401,17.96,7,2023,Summer
2019-05-28,Libya,167357,28173,18.1,5,2019,Spring
2016-02-13,Netherlands,162189,32162,17.55,2,2016,Winter
2011-12-06,Denmark,230285,30215,5.86,12,2011,Winter
2011-07-09,Canada,215325,56530,17.43,7,2011,Summer
2014-09-21,Sweden,239749,9243,8.42,9,2014,Spring
2023-09-04,Portugal,346971,6534,18.15,9,2023,Spring
2011-06-09,Spain,234843,16034,18.23,6,2011,Summer
2010-09-12,Italy,287353,46243,6.52,9,2010,Spring
2023-11-03,Mexico,150268,29366,13.44,11,2023,Spring
2019-10-25,Romania,283001,21434,18.1,10,2019,Spring
2018-01-03,Mexico,276507,8104,9.09,1,2018,Winter
2018-03-04,Netherlands,202403,8709,8.97,3,2018,Ramadan
2014-07-23,Poland,183093,37750,15.96,7,2014,Summer
2018-03-04,Czech Republic,311581,21320,16.63,3,2018,Ramadan
2012-06-03,Morocco,301684,22256,12.58,6,2012,Summer
2016-12-09,Czech Republic,292072,31606,6.89,12,2016,Winter
2012-12-30,Austria,219012,17957,7.37,12,2012,Winter
2010-06-14,Denmark,168615,12843,13.48,6,2010,Summer
2014-09-21,Chile,157861,6184,12.44,9,2014,Spring
2014-05-24,Brazil,325566,38776,13.18,5,2014,Spring
2013-01-29,UK,278009,50818,7.89,1,2013,Winter
2019-12-24,Argentina,182635,39369,12.29,12,2019,Winter
2018-02-02,South Africa,341156,31026,15.78,2,2018,Winter
2021-09-14,UAE,286665,25463,9.93,9,2021,Spring
2012-09-01,UAE,329558,25322,13.35,9,2012,Spring
2019-01-28,Morocco,284555,12668,17.94,1,2019,Winter
2022-11-08,Peru,193570,6363,5.63,11,2022,Spring
2022-10-09,Colombia,229580,30480,12.54,10,2022,Spring
2010-12-11,China,160501,17898,18.39,12,2010,Winter
2010-02-14,Switzerland,172569,12378,14.92,2,2010,Winter
2016-11-09,Qatar,243870,33878,7.81,11,2016,Spring
2016-08-11,Italy,336489,26723,16.5,8,2016,Summer
2017-11-04,Peru,167752,33899,15.04,11,2017,Spring
2013-07-28,Switzerland,337748,17342,5.51,7,2013,Summer
2015-08-17,Belgium,299811,38870,14.31,8,2015,Summer
2019-09-25,USA,318647,50018,18.03,9,2019,Spring
2022-02-11,Chile,299310,6108,17.63,2,2022,Winter
2016-07-12,Colombia,301926,32459,16.59,7,2016,Summer
2011-03-11,Poland,299856,30484,9.99,3,2011,Ramadan
2020-12-18,Belgium,339080,14170,5.83,12,2020,Winter
2019-08-26,Morocco,327448,19442,14.62,8,2019,Summer
2020-11-18,South Africa,159705,19030,9.32,11,2020,Spring
2020-12-18,UK,327595,57272,13.91,12,2020,Winter
2024-02-01,Jordan,174109,18057,10.03,2,2024,Winter
2018-09-30,Canada,339945,38120,13.16,9,2018,Spring
2010-11-11,Italy,237311,34520,15.63,11,2010,Spring
2023-10-04,Mexico,173977,8866,7.01,10,2023,Spring
2010-11-11,Poland,210527,24049,10.43,11,2010,Spring
2023-07-06,Australia,273452,20390,17.31,7,2023,Summer
2022-10-09,Austria,256349,38541,8.16,10,2022,Spring
2016-08-11,Algeria,234068,20649,14.87,8,2016,Summer
2017-12-04,Spain,237821,6923,15.99,12,2017,Winter
2011-12-06,Argentina,196367,24899,9.63,12,2011,Winter
2011-02-09,Japan,313896,30838,9.64,2,2011,Winter
2021-07-16,Switzerland,330442,14127,9.34,7,2021,Summer
2019-09-25,Netherlands,192186,13524,13.09,9,2019,Spring
2011-09-07,Austria,299922,15092,15.92,9,2011,Spring
2018-08-01,Switzerland,185929,24879,9.65,8,2018,Summer
2020-06-21,Czech Republic,229480,27796,13.88,6,2020,Summer
2011-03-11,South Africa,255432,27827,7.62,3,2011,Ramadan
2018-10-30,Colombia,178001,39944,18.46,10,2018,Spring
2014-01-24,Australia,249765,27364,6.77,1,2014,Winter
2021-12-13,UAE,340450,24919,11.0,12,2021,Winter
2023-07-06,South Africa,239755,12014,9.65,7,2023,Summer
2019-10-25,Hungary,152197,39371,5.64,10,2019,Spring
2021-05-17,China,329684,32790,14.57,5,2021,Spring
2016-08-11,Kuwait,155653,15432,12.62,8,2016,Summer
2021-04-17,Czech Republic,231321,38848,15.2,4,2021,Ramadan
2023-04-07,Italy,169412,75890,11.38,4,2023,Ramadan
2010-11-11,Colombia,336444,12382,10.34,11,2010,Spring
2014-12-20,Sweden,270408,37688,12.9,12,2014,Winter
2012-02-04,Mexico,246598,16062,18.28,2,2012,Winter
2017-09-05,Austria,250700,11264,15.25,9,2017,Spring
2021-02-16,Libya,237369,10706,11.57,2,2021,Winter
2019-04-28,Germany,298840,34334,14.27,4,2019,Ramadan
2024-06-30,Switzerland,301948,33520,16.69,6,2024,Summer
2014-07-23,Kuwait,211175,33636,8.41,7,2014,Summer
2010-10-12,Italy,231336,77050,15.2,10,2010,Spring
2019-11-24,UK,331622,34092,6.4,11,2019,Spring
2015-08-17,Canada,253980,44596,17.74,8,2015,Summer
2012-07-03,Brazil,347943,6634,6.38,7,2012,Summer
2019-07-27,Canada,216185,23367,17.73,7,2019,Summer
2012-06-03,Australia,349274,11313,6.49,6,2012,Summer
2018-02-02,Brazil,308530,7960,17.54,2,2018,Winter
2021-10-14,Switzerland,195459,39086,7.02,10,2021,Spring
2015-01-19,Argentina,162620,9309,5.63,1,2015,Winter
2018-04-03,France,199780,30144,9.36,4,2018,Ramadan
2013-03-30,Portugal,196662,23813,9.13,3,2013,Ramadan
2024-04-01,Spain,240186,36763,17.36,4,2024,Ramadan
2024-08-29,Kuwait,311555,5910,7.97,8,2024,Summer
2011-07-09,Denmark,268417,27263,15.27,7,2011,Summer
2022-11-08,Colombia,247613,26343,13.26,11,2022,Spring
2014-04-24,Lebanon,336484,24414,6.58,4,2014,Ramadan
2016-03-14,Norway,346897,19828,14.81,3,2016,Ramadan
2019-10-25,Switzerland,311191,36415,17.84,10,2019,Spring
2011-10-07,Jordan,157352,26985,8.61,10,2011,Spring
2011-06-09,Saudi Arabia,154973,16779,9.07,6,2011,Summer
2023-09-04,Canada,313947,52669,11.25,9,2023,Spring
2020-10-19,Romania,310962,10111,6.33,10,2020,Spring
2011-03-11,Portugal,171711,13627,10.95,3,2011,Ramadan
2010-02-14,Hungary,246113,18380,13.65,2,2010,Winter
2021-08-15,Italy,242421,67632,13.49,8,2021,Summer
2020-02-22,Netherlands,169105,28467,15.69,2,2020,Winter
2011-01-10,Norway,196493,21318,12.84,1,2011,Winter
2010-07-14,Hungary,178449,32548,6.6,7,2010,Summer
2019-09-25,UAE,172343,16223,8.96,9,2019,Spring
2021-02-16,Colombia,281767,8393,15.4,2,2021,Winter
2013-03-30,Japan,300461,35751,15.04,3,2013,Ramadan
2011-10-07,Japan,172194,13898,7.28,10,2011,Spring
2015-11-15,Netherlands,199163,17839,7.07,11,2015,Spring
2023-07-06,Algeria,293864,21951,11.78,7,2023,Summer
2018-05-03,Spain,300447,11743,14.26,5,2018,Spring
2023-04-07,Romania,332084,19526,8.39,4,2023,Ramadan
2019-12-24,Lebanon,222416,32347,9.52,12,2019,Winter
2011-07-09,Sweden,281128,35238,13.84,7,2011,Summer
2017-01-08,Mexico,196066,20074,17.06,1,2017,Winter
2021-01-17,Hungary,239902,36283,16.39,1,2021,Winter
2014-08-22,Greece,160174,16672,10.94,8,2014,Summer
2016-11-09,Libya,167738,29834,15.36,11,2016,Spring
2020-09-19,South Africa,349216,39678,11.19,9,2020,Spring
2016-12-09,France,319392,62824,6.78,12,2016,Winter
2019-11-24,Poland,164916,25575,11.16,11,2019,Spring
2024-08-29,Switzerland,171495,11577,10.81,8,2024,Summer
2017-01-08,Egypt,250702,38376,12.81,1,2017,Winter
2017-11-04,Poland,261912,14938,12.61,11,2017,Spring
2021-12-13,Morocco,245924,27485,7.89,12,2021,Winter
2014-10-21,USA,322800,70296,14.35,10,2014,Spring
2023-09-04,Peru,244029,15486,12.87,9,2023,Spring
2010-08-13,Poland,194140,29750,15.74,8,2010,Summer
2010-09-12,Denmark,197510,16753,5.88,9,2010,Spring
2016-11-09,China,324820,52599,7.41,11,2016,Spring
2023-12-03,Sweden,211074,22765,17.67,12,2023,Winter
2012-11-30,South Africa,316046,18375,13.73,11,2012,Spring
2019-04-28,Poland,295493,14697,8.41,4,2019,Ramadan
2022-06-11,Lebanon,272782,28432,10.1,6,2022,Summer
2018-03-04,South Africa,293649,8557,7.95,3,2018,Ramadan
2013-10-26,Hungary,307377,14695,14.19,10,2013,Spring
2018-09-30,Peru,206828,6903,9.02,9,2018,Spring
2014-10-21,China,155776,19125,16.83,10,2014,Spring
2015-09-16,Spain,203856,24768,12.23,9,2015,Spring
2023-04-07,Belgium,275147,33116,10.48,4,2023,Ramadan
2015-11-15,Algeria,292274,24314,14.56,11,2015,Spring
2020-04-22,Belgium,297182,29525,13.92,4,2020,Ramadan
2020-05-22,Romania,243569,11007,17.51,5,2020,Spring
2010-07-14,Brazil,338689,6997,6.91,7,2010,Summer
2019-04-28,Romania,211661,22597,11.09,4,2019,Ramadan
2019-10-25,Algeria,330805,6422,16.19,10,2019,Spring
2013-12-25,Japan,216073,23209,7.22,12,2013,Winter
2011-09-07,Romania,239480,33452,5.89,9,2011,Spring
2015-04-19,Peru,292092,19602,12.66,4,2015,Ramadan
2022-11-08,Argentina,160860,17711,17.18,11,2022,Spring
2014-02-23,Hungary,232343,7782,10.43,2,2014,Winter
2014-12-20,Jordan,282629,32079,11.35,12,2014,Winter
2019-07-27,Portugal,201803,21897,12.19,7,2019,Summer
2011-02-09,USA,249937,73176,10.52,2,2011,Winter
2023-09-04,Denmark,185546,7580,16.94,9,2023,Spring
2013-12-25,Poland,150150,13906,9.23,12,2013,Winter
2023-01-07,Turkey,170266,10140,17.96,1,2023,Winter
2023-11-03,Kuwait,230003,19992,13.76,11,2023,Spring
2014-04-24,Brazil,264529,26123,7.88,4,2014,Ramadan
2015-11-15,Hungary,343594,39687,5.56,11,2015,Spring
2023-11-03,Netherlands,311712,19469,16.35,11,2023,Spring
2019-03-29,Turkey,218821,27034,16.03,3,2019,Ramadan
2020-08-20,Sweden,300493,24585,8.1,8,2020,Summer
2012-12-30,Morocco,193412,33829,8.49,12,2012,Winter
2024-06-30,South Africa,271043,21456,11.14,6,2024,Summer
2024-09-28,Austria,203651,34945,7.06,9,2024,Spring
2017-08-06,Germany,212726,53458,8.65,8,2017,Summer
2014-12-20,Norway,218908,39017,6.32,12,2014,Winter
2021-01-17,Lebanon,163081,5042,8.77,1,2021,Winter
2015-12-15,Netherlands,206515,30748,11.44,12,2015,Winter
2020-11-18,Lebanon,163944,13089,11.85,11,2020,Spring
2014-03-25,Australia,323340,8699,8.67,3,2014,Ramadan
2024-02-01,Poland,212920,14197,12.17,2,2024,Winter
2017-04-08,Saudi Arabia,234672,8398,11.12,4,2017,Ramadan
2020-09-19,Czech Republic,192063,22671,11.74,9,2020,Spring
2013-04-29,Netherlands,218580,9150,14.01,4,2013,Ramadan
2011-10-07,UK,234309,51181,15.58,10,2011,Spring
2021-09-14,Canada,225657,57303,11.21,9,2021,Spring
2017-11-04,Australia,339392,7767,11.82,11,2017,Spring
2018-05-03,Mexico,269811,6107,16.36,5,2018,Spring
2016-07-12,Hungary,256860,25152,9.37,7,2016,Summer
2024-04-01,India,159291,8382,8.0,4,2024,Ramadan
2015-06-18,Portugal,276499,27143,14.32,6,2015,Summer
2015-02-18,Saudi Arabia,151121,36229,17.22,2,2015,Winter
2015-02-18,Australia,238071,18494,11.96,2,2015,Winter
2019-07-27,Austria,234621,13423,17.93,7,2019,Summer
2014-03-25,Canada,249379,37049,9.76,3,2014,Ramadan
2017-02-07,Chile,193117,37399,17.31,2,2017,Winter
2018-07-02,Austria,319303,18111,7.95,7,2018,Summer
2020-06-21,Mexico,156127,29710,14.51,6,2020,Summer
2024-09-28,UK,278902,59872,10.9,9,2024,Spring
2017-11-04,Norway,291887,13183,15.16,11,2017,Spring
2012-11-30,Spain,279686,18883,8.99,11,2012,Spring
2010-06-14,Lebanon,226932,31857,13.35,6,2010,Summer
2018-10-30,Mexico,260646,30554,8.99,10,2018,Spring
2014-12-20,Argentina,324699,20112,15.26,12,2014,Winter
2019-06-27,Belgium,155256,38638,16.74,6,2019,Summer
2021-10-14,Australia,163050,16059,10.71,10,2021,Spring
2014-01-24,South Africa,319121,14385,5.59,1,2014,Winter
2022-01-12,Netherlands,345792,9726,14.42,1,2022,Winter
2019-01-28,Greece,349937,29427,12.61,1,2019,Winter
2020-01-23,Kuwait,260900,16246,18.2,1,2020,Winter
2011-10-07,Hungary,320303,30860,13.05,10,2011,Spring
2016-11-09,Australia,188730,35309,8.62,11,2016,Spring
2013-10-26,Austria,166153,9237,6.32,10,2013,Spring
2023-02-06,Austria,330813,24569,14.26,2,2023,Winter
2019-05-28,Norway,309023,29629,12.25,5,2019,Spring
2017-01-08,Canada,346732,35981,11.54,1,2017,Winter
2010-01-15,France,179184,61905,5.83,1,2010,Winter
2019-11-24,Argentina,167701,16201,10.08,11,2019,Spring
2020-03-23,China,275956,53080,12.85,3,2020,Ramadan
2019-09-25,Germany,275161,24215,9.71,9,2019,Spring
2011-03-11,France,308263,42541,8.94,3,2011,Ramadan
2013-10-26,Norway,301877,14517,15.07,10,2013,Spring
2010-07-14,Argentina,313684,10773,15.81,7,2010,Summer
2023-10-04,Denmark,249449,35986,11.7,10,2023,Spring
2010-09-12,France,267757,34446,13.16,9,2010,Spring
2023-05-07,Morocco,240214,21889,5.76,5,2023,Spring
2021-06-16,UK,330993,53573,12.01,6,2021,Summer
2014-05-24,UAE,232299,24506,13.13,5,2014,Spring
2011-05-10,Peru,338485,35536,5.6,5,2011,Spring
2010-07-14,Mexico,335897,23411,18.29,7,2010,Summer
2019-08-26,Saudi Arabia,269033,6702,12.22,8,2019,Summer
2013-03-30,Kuwait,299918,39082,15.7,3,2013,Ramadan
2023-02-06,Canada,349360,46244,12.65,2,2023,Winter
2019-12-24,France,292401,74640,14.65,12,2019,Winter
2020-07-21,Algeria,306036,11249,13.85,7,2020,Summer
2023-02-06,China,348530,46736,11.11,2,2023,Winter
2010-11-11,Spain,267894,7112,8.92,11,2010,Spring
2017-06-07,South Africa,236798,8633,8.7,6,2017,Summer
2020-01-23,Qatar,343791,34080,16.91,1,2020,Winter
2014-09-21,Belgium,246836,29998,7.93,9,2014,Spring
2016-10-10,Italy,192024,70011,9.05,10,2016,Spring
2018-07-02,India,212910,38296,11.63,7,2018,Summer
2018-10-30,Sweden,247200,24897,7.38,10,2018,Spring
2011-04-10,Sweden,158097,9247,8.19,4,2011,Ramadan
2015-01-19,Netherlands,239352,34898,10.22,1,2015,Winter
2015-07-18,Algeria,265007,27761,15.03,7,2015,Summer
2015-05-19,Australia,290465,9936,8.28,5,2015,Spring
2019-11-24,Sweden,192052,20934,9.73,11,2019,Spring
2023-12-03,Germany,265071,41362,8.55,12,2023,Winter
2018-10-30,Switzerland,206130,36374,6.79,10,2018,Spring
2012-04-04,Peru,230046,9783,13.46,4,2012,Ramadan
2010-05-15,Austria,238478,33373,6.03,5,2010,Spring
2024-02-01,Lebanon,180070,18153,6.37,2,2024,Winter
2011-05-10,Canada,196107,34341,15.95,5,2011,Spring
2011-01-10,Brazil,244665,23856,18.11,1,2011,Winter
2014-07-23,USA,309138,35081,15.93,7,2014,Summer
2016-03-14,Netherlands,268097,13075,11.45,3,2016,Ramadan
2022-09-09,Argentina,183342,28538,14.54,9,2022,Spring
2015-11-15,Portugal,193616,38567,17.49,11,2015,Spring
2015-12-15,USA,327294,34785,14.91,12,2015,Winter
2021-09-14,Romania,348067,28616,18.43,9,2021,Spring
2012-12-30,Greece,337760,12183,14.68,12,2012,Winter
2017-02-07,Algeria,196829,13504,16.86,2,2017,Winter
2020-08-20,Romania,156872,17239,17.64,8,2020,Summer
2012-05-04,Spain,255604,11101,12.2,5,2012,Spring
2019-10-25,South Africa,174360,37759,13.41,10,2019,Spring
2015-08-17,Romania,346696,19343,10.98,8,2015,Summer
2018-04-03,Mexico,159140,11400,5.55,4,2018,Ramadan
2021-03-18,Denmark,252977,18992,7.34,3,2021,Ramadan
2023-02-06,Belgium,173079,37084,7.18,2,2023,Winter
2019-06-27,Spain,152089,34933,10.3,6,2019,Summer
2017-05-08,UAE,184382,35701,16.98,5,2017,Spring
2015-04-19,Italy,190436,44688,7.61,4,2015,Ramadan
2023-06-06,Hungary,288362,5324,18.31,6,2023,Summer
2024-08-29,Colombia,245229,8090,9.51,8,2024,Summer
2021-06-16,Spain,193089,11924,11.34,6,2021,Summer
2022-04-12,Sweden,309916,35700,13.95,4,2022,Ramadan
2012-06-03,Japan,158771,29049,18.22,6,2012,Summer
2013-03-30,Algeria,239630,19233,10.96,3,2013,Ramadan
2012-10-01,Colombia,173605,12334,11.62,10,2012,Spring
2024-08-29,Denmark,154182,37423,13.58,8,2024,Summer
2020-03-23,Japan,270159,39283,17.72,3,2020,Ramadan
2018-04-03,Libya,152961,18915,13.83,4,2018,Ramadan
2016-06-12,Spain,349944,16322,11.62,6,2016,Summer
2011-09-07,Sweden,151804,9577,15.23,9,2011,Spring
2015-01-19,Egypt,262959,11603,7.9,1,2015,Winter
2024-05-31,Hungary,255606,15852,15.33,5,2024,Spring
2018-05-03,Austria,221501,14576,17.94,5,2018,Spring
2018-03-04,Australia,254043,10918,17.76,3,2018,Ramadan
2023-10-04,Turkey,244864,31864,6.54,10,2023,Spring
2023-02-06,Kuwait,152489,21977,14.43,2,2023,Winter
2018-09-30,Denmark,164867,25811,6.95,9,2018,Spring
2022-03-13,China,180556,20006,16.14,3,2022,Ramadan
2013-12-25,Argentina,152772,8900,7.55,12,2013,Winter
2010-04-15,India,341837,39663,15.16,4,2010,Ramadan
2010-05-15,UK,209072,30792,9.41,5,2010,Spring
2015-12-15,Peru,337224,34541,13.03,12,2015,Winter
2020-03-23,Egypt,187391,22541,17.7,3,2020,Ramadan
2017-08-06,China,201305,33214,5.79,8,2017,Summer
2011-08-08,Switzerland,340368,29331,12.66,8,2011,Summer
2021-06-16,Kuwait,315968,22655,14.56,6,2021,Summer
2020-03-23,Turkey,322813,22612,8.76,3,2020,Ramadan
2021-11-13,Turkey,212122,10075,8.15,11,2021,Spring
2013-05-29,Qatar,226311,20272,14.07,5,2013,Spring
2016-09-10,Sweden,179235,33164,14.86,9,2016,Spring
2013-12-25,Denmark,255968,32939,11.16,12,2013,Winter
2015-04-19,Algeria,243196,8917,13.88,4,2015,Ramadan
2022-08-10,Libya,201943,26779,14.77,8,2022,Summer
2021-10-14,Saudi Arabia,198298,31234,16.24,10,2021,Spring
2016-06-12,Portugal,230616,24744,6.54,6,2016,Summer
2022-03-13,Denmark,349916,13556,17.61,3,2022,Ramadan
2010-09-12,Kuwait,349010,16975,7.99,9,2010,Spring
2015-02-18,Turkey,165569,26924,7.31,2,2015,Winter
2022-05-12,South Africa,200005,23052,11.01,5,2022,Spring
2016-02-13,Canada,323413,48074,10.32,2,2016,Winter
2016-11-09,South Africa,225980,30761,8.71,11,2016,Spring
2023-01-07,Jordan,232204,29592,13.74,1,2023,Winter
2013-05-29,Canada,293165,68144,15.9,5,2013,Spring
2017-03-09,Canada,279579,21880,16.56,3,2017,Ramadan
2018-10-30,France,211657,76480,10.75,10,2018,Spring
2012-09-01,Turkey,180008,21415,5.99,9,2012,Spring
2022-01-12,Spain,188882,26482,6.69,1,2022,Winter
2012-11-30,Argentina,211229,11666,6.8,11,2012,Spring
2010-02-14,South Africa,259965,19055,11.69,2,2010,Winter
2018-12-29,Morocco,227136,37975,9.92,12,2018,Winter
2020-04-22,Qatar,319881,32190,16.07,4,2020,Ramadan
2021-02-16,Denmark,248255,31752,13.87,2,2021,Winter
2021-02-16,Morocco,164194,13404,12.33,2,2021,Winter
2013-08-27,Lebanon,220755,29874,14.58,8,2013,Summer
2014-07-23,Greece,296207,37157,13.45,7,2014,Summer
2020-09-19,Spain,302245,10564,6.74,9,2020,Spring
2011-06-09,Hungary,290364,29610,11.54,6,2011,Summer
2018-08-31,Lebanon,268650,26998,11.88,8,2018,Summer
2024-05-31,Netherlands,176226,20370,9.21,5,2024,Spring
2024-06-30,Belgium,342433,18840,5.78,6,2024,Summer
2010-08-13,Greece,339315,12062,6.09,8,2010,Summer
2019-02-27,Morocco,331978,21393,11.26,2,2019,Winter
2011-05-10,USA,237030,58678,16.81,5,2011,Spring
2020-01-23,Portugal,226871,16713,10.14,1,2020,Winter
2012-11-30,Germany,206398,30776,13.08,11,2012,Spring
2019-02-27,Canada,164293,22982,12.69,2,2019,Winter
2020-08-20,Switzerland,284070,35796,11.84,8,2020,Summer
2023-11-03,Switzerland,349845,25756,8.36,11,2023,Spring
